"","pValue","qValue","EffectSize","X.SB01.SA01.","significant","GeneName"
"A0A2H0ZD86","0.867554658309817","0.982151776978653","0.0395688841062967","SB01-SA01","Non significant","A0A2H0ZD86"
"A0A2H0ZDC2","0.589591947110218","0.913315441546089","0.141474185003686","SB01-SA01","Non significant","A0A2H0ZDC2"
"A0A2H0ZDC5","0.251805811135974","0.641831116428108","-0.647097865753675","SB01-SA01","Non significant","A0A2H0ZDC5"
"A0A2H0ZDD4","0.0071767524406985","0.112196563156253","-1.14420888476591","SB01-SA01","Non significant","A0A2H0ZDD4"
"A0A2H0ZDD6","0.130239967905689","0.474990650746873","-0.511410273310482","SB01-SA01","Non significant","A0A2H0ZDD6"
"A0A2H0ZDD8","0.884128827062439","0.982151776978653","0.0586963741044588","SB01-SA01","Non significant","A0A2H0ZDD8"
"A0A2H0ZDF5","0.844810817343676","0.978984846083208","-0.0486597580517802","SB01-SA01","Non significant","A0A2H0ZDF5"
"A0A2H0ZDF6","0.09622181762975","0.415803305506338","-0.383101928143205","SB01-SA01","Non significant","A0A2H0ZDF6"
"A0A2H0ZDH9","0.0337227927995101","0.239636209438943","-0.687233483746063","SB01-SA01","Non significant","A0A2H0ZDH9"
"A0A2H0ZDI6","0.153880408014109","0.504684694815506","-0.88097344594307","SB01-SA01","Non significant","A0A2H0ZDI6"
"A0A2H0ZDL2","0.334431010851971","0.736588480442548","0.42269051546303","SB01-SA01","Non significant","A0A2H0ZDL2"
"A0A2H0ZDL3","0.210244323066608","0.600082008623059","-0.393326933664159","SB01-SA01","Non significant","A0A2H0ZDL3"
"A0A2H0ZDN1","0.243826931928973","0.635304617081601","0.329237061796292","SB01-SA01","Non significant","A0A2H0ZDN1"
"A0A2H0ZDN4","0.12600979852567","0.469036472289995","-0.435910714433934","SB01-SA01","Non significant","A0A2H0ZDN4"
"A0A2H0ZDU3","0.368163059390912","0.750732499366686","0.31667753368097","SB01-SA01","Non significant","A0A2H0ZDU3"
"A0A2H0ZDV4","0.789531773029404","0.965015812905956","0.0470943393746985","SB01-SA01","Non significant","A0A2H0ZDV4"
"A0A2H0ZDW4","0.291638497708862","0.677121066462654","-0.29858273890207","SB01-SA01","Non significant","A0A2H0ZDW4"
"A0A2H0ZDY0","0.0525560546599533","0.286613832971141","-0.589860848601095","SB01-SA01","Non significant","A0A2H0ZDY0"
"A0A2H0ZE14","0.410724677505009","0.790251794690203","0.202667576542892","SB01-SA01","Non significant","A0A2H0ZE14"
"A0A2H0ZE19","0.642973994783978","0.925014734827257","-0.165496085364802","SB01-SA01","Non significant","A0A2H0ZE19"
